title,company,rating,review_count,urgently_hiring,snippet,dradis_job,new_job,sponsored,featured_employer,indeed_applyable,source_id,job_location_postal,salary_min,salary_max,company_has_link,job_type_Full-time,job_type_Part-time,job_type_Temporary,job_type_Contract,job_type_Internship,job_type_N/A,relative_time,activity_date,activity_date_na,location_remote,no_postal,remote_work_model,hires_needed_na,hires_needed_exact_na,hires_needed_exact
Server Engineer,TMGcore,0.0,0,False,"Utilizing Two-Phase Immersion Computing, TMGcore provides the most evolutionary hardware and software solutions enabling higher densities, better efficiencies,",True,False,True,False,True,12344183,75024.0,80000,90000,False,True,False,False,False,False,False,31,3,False,False,False,1,True,False,1
Software Engineer - Enterprise Candidate Management,Indeed,4.3,824,False,"Minimum of 3 years of experience in industry as a software engineer.
 Work closely with stakeholders to understand/identify critical business needs and problem",False,False,True,False,True,15530,55317.0,109000,159000,True,True,False,False,False,False,False,31,-1,True,False,True,0,True,True,0
Software Engineer,Liberty Mutual Insurance,3.6,4540,False,"Collaborate closely with a team of software and test engineers to deliver complex software solutions.
 Conversant in software architecture and design patterns.",False,False,True,False,False,213,55317.0,96900,121700,True,False,False,False,False,False,True,31,-1,True,True,True,2,True,True,0
Lead Software/Java Engineer,Bectran,1.5,4,False,"Hands-on Design and Build of Java/J2EE based full stack software components.
 Our customers enjoy the ease, speed and cost-effectiveness of adopting the Bectran",True,True,True,False,True,19891121,55317.0,90000,130000,True,True,False,False,False,False,False,7,-1,True,False,True,0,True,False,1
Lead Software Engineer,GEC INC,0.0,0,False,"Controller software, seeing the product through the software development lifecycle.
 Engineer will support the design, planning, implementation, and testing of",True,False,False,False,True,16483627,55317.0,106041,127975,False,True,False,False,False,False,False,26,3,False,False,True,0,False,False,2
Sr. Software Engineer - Java Spring Boot,BlueInGreen Digital,0.0,0,True,"The Sr. Software Engineer will work directly with clients and other team members including Strategy, UI/UX, QA, Project Management and other stakeholders on a",True,False,True,False,True,18092898,55317.0,125000,150000,False,True,False,False,False,False,False,15,-1,True,True,True,2,False,False,1
Junior Software Engineer,GoldFinch Cloud Solutions,0.0,0,False,"4 years of software engineering degree is required.
 You can work anywhere you want for the long term.
 Maintain and enhance GoldFinch ERP system.",True,False,True,False,True,19132963,55317.0,55000,80000,False,True,False,False,False,False,False,21,3,False,True,True,2,True,False,1
Senior Software Engineer,"Prime Trust, LLC",0.0,0,True,"Prime Trust is seeking an experienced backend software engineer for a full-time remote position to help us build, support, and scale Prime Trust products.",True,False,True,False,True,7935666,55317.0,120000,160000,False,True,False,False,False,False,False,31,4,False,True,True,2,False,False,1
Senior Software Engineer- Job Value,Indeed,4.3,824,False,"5+ years of experience planning, designing, and developing platform software.
 Work alongside other engineers on product teams to build and improve the code",False,False,True,True,True,15530,55317.0,109000,159000,True,True,False,False,False,False,False,31,-1,True,False,True,0,True,True,0
Lead Software Engineer,eTeam Inc,0.0,0,False,"Actively works with less experienced software engineers providing technical guidance and oversight.
 Builds software applications across multiple platforms in",True,False,True,False,False,19951389,55317.0,140000,160000,False,True,False,False,False,False,False,15,-1,True,False,True,0,False,False,4
Software Engineer II,Sierra Nevada Corporation,3.6,245,False,"Knowledge of software development methodologies such as Agile/Scrum, Waterfall, and Spiral.
 Your technical responsibilities involve the design and development",False,False,True,False,False,17303,80112.0,88500,121687,True,True,False,False,False,False,False,14,-1,True,False,False,0,True,True,0
DevOps Engineer,"QuarkWorks, Inc.",0.0,0,False,"Benefits - 401(k) 1% matching, health &amp; dental insurance, signing and yearly bonuses.
 Docker, Kubernetes, Gitlab CI, Github Actions, AWS, ECS/Fargate, Digital",False,True,False,False,True,20757562,55317.0,70000,100000,False,True,False,False,False,False,False,1,-1,True,False,True,2,True,True,0
"Software Engineer, Backend - Remote",Project Admission,0.0,0,False,"Job Type: Full-time | Remote.
 Be self-directed and be able to prioritize your own workload.
 Participate and follow through feature development, from project",True,False,True,False,True,9905627,55317.0,105000,120000,False,True,False,False,False,False,False,19,3,False,False,True,2,True,False,1
Senior / Principal Software Engineer,Liberty Mutual Insurance,3.6,4540,False,"Collaborate closely with other engineers, solutions engineers, and other teams in the department to drive complex solutions.",False,False,False,False,False,213,55317.0,96600,174700,True,False,False,False,False,False,True,27,-1,True,True,True,2,True,True,0
Senior Software Engineer - REMOTE,CPS Recruitment,3.6,40,False,"Build software tools and abstractions to reduce the effort required to integrate with a large number of 3rd party systems.
 Competitive salary $140-180K.",False,False,True,True,True,39252,13212.0,140000,180000,True,False,False,False,False,False,True,8,-1,True,False,False,2,True,True,0
Full Stack Java Engineer,"Brokerage Management Solutions, Inc",0.0,0,False,"2-3+ years of professional software development experience in Java.
 You'll be pushing code daily and responsible for all aspects, from front-end through back",True,False,True,False,True,12989531,33487.0,40000,65000,False,True,False,False,False,False,False,8,2,False,False,False,0,True,False,1
"Senior Software Engineer, Ruby (Billing Platform)",BigCommerce,3.7,47,False,"Mentor other engineers in the current domain.
 Write code that is performant, maintainable, clear, and concise.
 Adept with full-stack development.",False,False,True,True,True,50489,55317.0,134000,162000,True,False,False,False,False,False,True,9,-1,True,False,True,0,True,True,0
Java developer (9+ Years) onsite position,CTS,0.0,0,False,"Build automation tools and experience in CI/CD pipeline software.
 Location: Location Katy, TX **(Candidate must relocate to be on site to start)*.",True,False,False,False,True,18593515,55317.0,72113,94431,False,False,False,False,True,False,False,29,5,False,False,True,1,False,False,0
Full Stack PHP Developer,Reatro Ventures,0.0,0,True,"Be able to understand, implement and update HTML, CSS, PHP and JavaScript code, with little direction.
 Be able to manage, implement and make changes to MySQL",True,False,False,False,True,18904704,55317.0,75000,90000,False,True,False,False,False,False,False,9,-1,True,False,True,1,False,False,1
Senior Software Developer,W Energy Software,0.0,0,True,"Public repositories of your own software projects (Github, etc.).
 Our developers work together to build and support our web-based software applications.",True,False,True,False,True,16644213,55317.0,80000,140000,False,True,False,False,False,False,False,31,-1,True,False,True,2,False,False,3
"Manager, Software Engineering- Marketplace (Indeed Apply Integrations)",Indeed,4.3,824,False,Mentor engineers and provide feedback on software architecture designs and implementations of new products and features.,False,True,False,False,True,15530,55317.0,132000,192000,True,True,False,False,False,False,False,1,-1,True,True,True,2,True,True,0
Full Stack .NET Software Developer,GETIDA,0.0,0,True,"Develop information systems by designing, developing software solutions.
 * Develop software solutions by studying information needs; conferring with users;",True,False,True,False,True,18325242,7666.0,105000,140000,False,True,False,False,True,False,False,26,3,False,False,False,0,False,False,1
Senior Software Engineer - Hiring Insights (Full Stack),Indeed,4.3,824,False,"4+ years of experience in software development in JavaScript, preferably in conjunction with React.
 As a team that serves both employers and internal users with",False,False,True,False,True,15530,55317.0,132000,192000,True,True,False,False,False,False,False,14,-1,True,False,True,2,True,True,0
Software Development Manager,Oracle,3.8,6339,False,"As a manager of the software engineering division, you will apply your knowledge of software architecture to manage software development tasks associated with",False,False,False,False,False,1001,55317.0,91000,209000,True,False,False,False,False,False,True,31,-1,True,False,True,0,True,True,0
Software Engineer: Mobile,AlphaPoint,4.3,3,False,"The software engineer will collaborate with other members of the development team, quality assurance, and business stakeholders to build safe, reliable, fast",True,True,True,False,True,15708280,55317.0,90000,140000,True,True,False,False,False,False,False,0,-1,True,True,True,2,True,False,1
Application Solution Developer,Projetech,4.2,5,True,"Implement best practice solutions for Maximo Cloud Customers and Partners.
 Maintain up-to-date knowledge of Projetech¡¦s products and services.",True,False,True,True,True,16005360,55317.0,70000,90000,True,True,False,False,False,False,False,29,2,False,False,True,0,False,False,1
Sr. Software Engineer - Java Spring Boot,BlueInGreen Digital,0.0,0,True,"The Sr. Software Engineer will work directly with clients and other team members including Strategy, UI/UX, QA, Project Management and other stakeholders on a",True,False,True,False,True,18092898,55317.0,125000,150000,False,True,False,False,False,False,False,15,-1,True,False,True,2,False,False,1
Ruby on Rails Developer,Welcome Homes,0.0,0,True,"Facilitate collaboration with other engineers, product owners, and designers to solve interesting and challenging problems for delivering various features.",True,False,True,False,True,18867643,10010.0,135000,150000,False,True,False,False,False,False,False,13,2,False,False,False,1,False,False,2
[REMOTE] 3D Software Engineer (130K + Bonus + EQUITY),#twiceasnice Recruiting,0.0,0,True,"3+ years of software engineer experience required.
 Design, develop and troubleshoot software features.
 Software development: 3 years (Required).",True,True,True,True,True,7581021,55317.0,100000,130000,False,True,False,False,False,False,False,6,-1,True,True,True,2,False,False,1
Senior Software Engineer - Hired Signal,Indeed,4.3,824,False,"BS or MS in Computer Science (or equivalent experience).
 Experience with full-stack application development.
 Experience with Java and/or Scala.",False,False,True,False,True,15530,55317.0,109000,159000,True,True,False,False,False,False,False,31,-1,True,True,True,2,True,True,0
Software Engineer,Robert Half,3.9,12493,False,"This is a position you will thrive in, if you can effectively create new platforms and uphold current systems.
 Promote top programming practices and standards.",False,False,True,False,True,731,20005.0,125000,150000,True,True,False,False,False,False,False,25,-1,True,False,False,0,True,True,0
"Automation Engineer - Lorain, OH","Absolute Machine Tools, Inc.",1.0,1,False,"Research, advise and engineer automation accessories for us in manufacturing cells.
 Reporting to the Automation Applications Director, the successful candidate",True,False,True,False,True,524481,55317.0,55000,85000,False,True,False,False,False,False,False,31,13,False,False,True,0,False,False,2
Sr Mobile Developer,Empower Retirement,3.1,107,False,"As a senior mobile developer, you will work under general guidance/supervision from lead developers and systems management on Empower¡¦s mobile applications.",False,True,False,False,False,778,55317.0,92600,152800,True,True,False,False,False,False,False,2,-1,True,False,True,0,True,True,0
Security Software Engineer,Skyward Federal LLC,0.0,0,False,"Create and maintain high quality distributed system software.
 Passion for new technologies, software &amp; processes.
 Fully-vested 401k matching (up to 10%),.",True,False,True,False,True,15358897,55317.0,100000,155000,False,True,False,False,False,False,False,31,-1,True,False,True,2,False,False,1
Sr. Full Stack Software Engineer,Stanford Federal Credit Union,2.8,13,False,"Design and build software capable of reaching millions of daily users.
 5+ years of full stack software engineering and/or work-related industry experience.",False,False,False,False,True,191992,94303.0,133085,140000,True,True,False,False,False,False,False,19,-1,True,False,False,0,True,True,0
Java Engineer,Candor Group Inc,0.0,0,True,"Understanding of multi-tier distributed software architectures, concurrent programming concepts, and multi-threaded applications.",True,False,False,False,True,20280505,60563.0,105000,120000,False,True,False,False,False,False,False,31,22,False,False,False,2,True,False,3
Software/Hardware Engineer,Rhodan Marine Systems,0.0,0,False,"Pay range $60,000 - $100,000.
 We pride ourselves on building a quality product and providing quality customer service.
 Schematic capture and PCB layout.",True,False,True,False,True,18222602,34240.0,60000,100000,False,True,False,False,False,False,False,27,10,False,False,False,0,True,False,1
Senior Embedded Software Engineer,Alicat Scientific,3.5,10,True,"Experience debugging embedded system software and hardware using tools such as oscilloscopes, logic analyzers, and debuggers.
 C Programming: 7 years (Required).",True,False,True,False,True,18825722,85743.0,90000,135000,True,True,False,False,False,False,False,14,6,False,False,False,0,True,False,1
Accounts Executive (SaaS Inside Sales),Almabase,0.0,0,True,"1+ years of B2B software sales (deal closing) experience to mid-market/enterprise customers.
 Almabase is looking to hire an Account Executive to close new sales",True,True,False,False,True,20463085,55317.0,50000,100000,False,True,False,False,False,False,False,5,3,False,False,True,1,False,False,1
Software Engineer - Resume Search,Indeed,4.3,824,False,"Experience building complex, highly scalable software systems.
 As a software engineer, you will be expected to assist and collaborate in designing new systems,",False,False,True,False,True,15530,55317.0,104000,150000,True,True,False,False,False,False,False,31,-1,True,False,True,0,True,True,0
Software Engineer,Aetheros,0.0,0,False,"Experience working on cross-functional teams using agile software development methods.
 The successful candidate must have the ability to work independently and",True,False,True,False,True,11346876,94133.0,125000,150000,False,True,False,False,False,False,False,31,-1,True,False,False,1,False,True,0
Software Engineer IV,CI Software,0.0,0,True,"O 5-10 years of software development experience.
 O Knowledge of software development concepts, practices, and procedures.
 O Experience with SEMI Standards.",True,False,True,False,True,289838,55317.0,140000,145000,False,True,False,False,False,False,False,31,9,False,False,True,1,False,False,1
.Net Developer,"KTL Solutions, Inc",0.0,0,True,"Collaborate with internal teams to produce software design and architecture.
 Net developer to build software using languages and technologies of the .",True,False,True,True,True,1278157,21704.0,90000,110000,False,True,False,False,False,False,False,31,3,False,False,False,0,True,False,2
Embedded Software & Electronics Engineer,Artel,0.0,0,False,"Software controls: 3 years (Required).
 3 to 5 years¡¦ experience (preferably related to software controls and/or instrument design).",True,False,True,False,True,9652186,4092.0,80000,100000,False,True,False,False,False,False,False,31,2,False,False,False,0,True,False,1
"Solutions Engineer, Software",Liberty Mutual Insurance,3.6,4540,False,"Collaborate closely with architects, IT stakeholders, product owners, test engineers, and other software engineers to deliver modern quality and architecture",False,False,True,False,False,213,55317.0,128201,167700,True,False,False,False,False,False,True,20,-1,True,True,True,2,True,True,0
Senior Software Engineer,Underdog.io,0.0,0,True,"They're working on interesting technical challenges and must be respectful of your time to stay active.
 Experience in libraries and frameworks such as React,",True,False,True,False,False,20359943,55317.0,134000,203000,False,True,False,False,False,False,False,27,7,False,True,True,2,True,False,3
Senior Software Engineer - Hiring Insights (Full Stack),Indeed,4.3,824,False,"4+ years of experience in software development in JavaScript, preferably in conjunction with React.
 As a team that serves both employers and internal users with",False,False,True,False,True,15530,55317.0,132000,192000,True,True,False,False,False,False,False,14,-1,True,False,True,2,True,True,0
"Supervisor, Developer III",Duval County Public Schools,3.5,397,False,"Advancedlevelknowledge in software and information lifecycle process.
 Experience: Seven (7) years experience in design and development of software solutions of",False,True,True,False,False,5309961,32207.0,60000,90000,True,True,False,False,False,False,False,2,-1,True,False,False,0,True,True,0
Software Engineer,Express Global Solutions LLC,3.0,2,False,"Identify, Investigate the root cause, analyze, and document problems with software product functionality and the software program output.",True,True,False,False,True,2031105,94555.0,94573,174116,True,True,False,False,False,False,False,7,8,False,False,False,1,True,False,1
Sr. Software Engineer/Architect,The DEI Group,0.0,0,False,"Senior Software Engineer works as part of an aggressive team, comprised of software engineers as well as machinery engineers involved with designing, developing",True,False,True,False,True,4761827,55317.0,100000,130000,False,True,False,False,False,False,False,31,8,False,False,True,0,False,False,1
Sr. Robotics Software Engineer,Decide,0.0,0,True,"Good software foundational skills: clean, well-documented code; collaborative style.
 The company develops embedded software, with a focus on robotics, medical",True,False,True,False,True,11287629,55317.0,100000,140000,False,True,False,False,False,False,False,31,6,False,False,True,0,False,False,1
Ruby on Rails Developer,Welcome Homes,0.0,0,True,"Facilitate collaboration with other engineers, product owners, and designers to solve interesting and challenging problems for delivering various features.",True,False,True,False,True,18867643,10010.0,135000,150000,False,True,False,False,False,False,False,13,2,False,False,False,1,False,False,2
Staff Software Engineer (Full-Stack) - SMB,Indeed,4.3,824,False,"Experience in building complex, highly scalable software systems.
 Experienced in leading a team of 3-5 engineers and staying focused on high priority",False,False,True,False,True,15530,55317.0,132000,192000,True,True,False,False,False,False,False,31,-1,True,False,True,2,True,True,0
Backend Software Engineer,TikTok,3.8,19,False,"A solid foundation in computer science, with competencies in data structures, algorithms, and software design.",True,False,True,False,True,9017914,55317.0,99807,196394,True,True,False,False,False,False,False,12,3,False,False,True,0,False,False,0
